operation,person,type,FO,region,amount,month
Внесение,ФЛ,Нерезидент,ДФО,Амурская область,,Январь
Выдача,ФЛ,Нерезидент,ДФО,Амурская область,,Январь
Внесение,ФЛ,Резидент,ДФО,Амурская область,74569,Январь
Выдача,ФЛ,Резидент,ДФО,Амурская область,441181,Январь
Внесение,ЮЛ,Резидент,ДФО,Амурская область,57450,Январь
Выдача,ЮЛ,Резидент,ДФО,Амурская область,423556,Январь
Внесение,ФЛ,Нерезидент,ДФО,Еврейская автономная область,,Январь
Выдача,ФЛ,Нерезидент,ДФО,Еврейская автономная область,,Январь
Внесение,ФЛ,Резидент,ДФО,Еврейская автономная область,76658,Январь
Выдача,ФЛ,Резидент,ДФО,Еврейская автономная область,856636,Январь
Внесение,ЮЛ,Резидент,ДФО,Еврейская автономная область,90299,Январь
Выдача,ЮЛ,Резидент,ДФО,Еврейская автономная область,71035,Январь
Внесение,ФЛ,Нерезидент,ДФО,Камчатский край,,Январь
Выдача,ФЛ,Нерезидент,ДФО,Камчатский край,220964,Январь
Внесение,ФЛ,Резидент,ДФО,Камчатский край,14992,Январь
Выдача,ФЛ,Резидент,ДФО,Камчатский край,501868,Январь
Внесение,ЮЛ,Резидент,ДФО,Камчатский край,52397,Январь
Выдача,ЮЛ,Резидент,ДФО,Камчатский край,441411,Январь
Внесение,ФЛ,Нерезидент,ДФО,Магаданская область,,Январь
Выдача,ФЛ,Нерезидент,ДФО,Магаданская область,,Январь
Внесение,ФЛ,Резидент,ДФО,Магаданская область,47003,Январь
Выдача,ФЛ,Резидент,ДФО,Магаданская область,133691,Январь
Внесение,ЮЛ,Резидент,ДФО,Магаданская область,95295,Январь
Выдача,ЮЛ,Резидент,ДФО,Магаданская область,249765,Январь
Внесение,ФЛ,Нерезидент,ДФО,Приморский край,,Январь
Выдача,ФЛ,Нерезидент,ДФО,Приморский край,,Январь
Внесение,ФЛ,Резидент,ДФО,Приморский край,7587,Январь
Выдача,ФЛ,Резидент,ДФО,Приморский край,940787,Январь
Внесение,ЮЛ,Резидент,ДФО,Приморский край,21452,Январь
Выдача,ЮЛ,Резидент,ДФО,Приморский край,167289,Январь
Внесение,ФЛ,Нерезидент,ДФО,Республика Саха (Якутия),,Январь
Выдача,ФЛ,Нерезидент,ДФО,Республика Саха (Якутия),,Январь
Внесение,ФЛ,Резидент,ДФО,Республика Саха (Якутия),61240,Январь
Выдача,ФЛ,Резидент,ДФО,Республика Саха (Якутия),708500,Январь
Внесение,ЮЛ,Резидент,ДФО,Республика Саха (Якутия),40819,Январь
Выдача,ЮЛ,Резидент,ДФО,Республика Саха (Якутия),422613,Январь
Внесение,ФЛ,Нерезидент,ДФО,Сахалинская область,,Январь
Выдача,ФЛ,Нерезидент,ДФО,Сахалинская область,,Январь
Внесение,ФЛ,Резидент,ДФО,Сахалинская область,1743,Январь
Выдача,ФЛ,Резидент,ДФО,Сахалинская область,56068,Январь
Внесение,ЮЛ,Резидент,ДФО,Сахалинская область,55598,Январь
Выдача,ЮЛ,Резидент,ДФО,Сахалинская область,356276,Январь
Внесение,ФЛ,Нерезидент,ДФО,Хабаровский край,530856,Январь
Выдача,ФЛ,Нерезидент,ДФО,Хабаровский край,,Январь
Внесение,ФЛ,Резидент,ДФО,Хабаровский край,33749,Январь
Выдача,ФЛ,Резидент,ДФО,Хабаровский край,371152,Январь
Внесение,ЮЛ,Резидент,ДФО,Хабаровский край,98527,Январь
Выдача,ЮЛ,Резидент,ДФО,Хабаровский край,445986,Январь
